ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
78931,78931,0,2140,282,"77418, 77833, 78944"
78933,78933,0,4125,545,"77418, 77434, 77435, 77474, 77485, 78935, 78950"
78934,78934,0.101,8541,1127,"77412, 77442, 77470, 77475, 78935, 78938, 78940, 78943, 78950, 78962"
78935,78935,0,1120,148,"77434, 77442, 78933, 78934, 78950"
78938,78938,0,2140,282,78934
78940,78940,0.0909,1120,148,"77833, 77835, 78934, 78950, 78954"
78943,78943,0,1850,244,"78934, 78962"
78944,78944,0,4125,545,"77418, 77833, 78931, 78950"
78950,78950,0,2140,282,"77418, 77833, 78933, 78934, 78935, 78940, 78944"
78951,78951,0,4125,545,"77964, 78956, 78962"
78954,78954,0,1120,148,"77835, 78940"
78956,78956,0.049,4125,545,78951
78962,78962,0,8541,1127,"77475, 77964, 78934, 78943, 78951"
